Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2016-02-23,127.39800262451172,130.20579266640524,127.14655664046434,129.32573811677636,772544
2016-02-24,124.4644775390625,127.43989353299592,123.03963422605938,127.1046280075956,1127019
2016-02-25,126.01504516601562,126.93699654847839,124.29684618583154,125.63786986643328,779169
2016-02-26,128.4037628173828,129.70288963323628,127.39799175607052,127.60752792672196,637930
2016-02-29,128.90664672851562,128.99045351812222,125.76360436414548,127.23035746751822,703037
2016-03-01,129.6609649658203,130.038127471908,127.85895922058391,128.90663995364494,636859
2016-03-02,129.9124298095703,131.5048996399938,129.2838212782337,130.75057451801916,829047
2016-03-03,128.8228302001953,130.28958333829885,127.69134259567315,130.08004717571265,561880
2016-03-04,128.52947998046875,129.5771607341763,127.90087152824422,129.24189521954685,896869
2016-03-07,129.61904907226562,129.78668821291498,127.90086298224728,128.3618322518205,596157
2016-03-08,129.74478149414062,130.12194399137385,127.23034779382422,129.4095159939891,633261
2016-03-09,130.3734130859375,131.84016633842361,129.45144878303114,130.16387690701092,576916
2016-03-10,129.36764526367188,136.99475469646143,129.36764526367188,130.45722319044629,1719100
2016-03-11,131.96588134765625,132.63639966999537,130.91820046558678,132.00779114075368,790389
2016-03-14,133.68409729003906,134.81559789997343,132.34306047745574,132.678326075139,896496
2016-03-15,130.6248321533203,133.09735599756706,129.91240417608122,132.8040002918637,858775
2016-03-16,129.954345703125,131.50490581309776,129.87052611271614,131.04393643307074,612499
2016-03-17,127.10462951660156,131.2534557150835,126.60175040613896,131.12772634566366,1060098
2016-03-18,127.69132995605469,128.78090766239248,126.85318538867415,127.31415466947652,1694117
2016-03-21,126.18268585205078,128.2361377882307,125.84742030203641,126.85320416300647,548018
2016-03-22,124.67402648925781,125.4702614115426,122.536754905913,125.4702614115426,1000866
2016-03-23,125.84739685058594,127.23034300717354,124.96735531984098,125.00925231534642,849680
2016-03-24,123.3749008178711,127.06274527700148,123.3329910238554,126.3084073519397,782330
2016-03-29,126.39221954345703,126.51793612907358,123.75205614385438,123.75205614385438,814445
2016-03-30,129.49334716796875,129.9124194889007,127.06273282219243,127.60752172377502,733142
2016-03-31,126.14077758789062,128.6971214855263,126.14077758789062,128.6971214855263,790494
2016-04-01,124.71591186523438,125.09307435572893,123.24915889958932,124.12921323679053,1130274
2016-04-04,125.05118560791016,127.14654733990957,124.04541453436505,124.04541453436505,626703
2016-04-05,121.82432556152344,124.04540368759827,121.44715025148601,123.8777773215105,915926
2016-04-06,122.45294189453125,123.54251973864999,121.19572488448092,123.20726698493235,859493
2016-04-07,121.65670776367188,123.58444328478257,121.40527456493612,122.32722613480702,946549
2016-04-08,122.07574462890625,123.7520336744886,122.03384763402308,122.57863645820915,885609
